Order_id,Order Date,Customer Name,State,Category,Sub-Category,Product Name,Sales,Quantity,Profit
26,23-04-2022,Shraddha,Tripura,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,34.35
27,23-04-2022,Akanksha,Mizoram,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,87.35
28,20-06-2023,Sarika,Chhattisgarh,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,238.65
29,29-04-2021,Vikas,Sikkim,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334.00,3,3.93
30,01-07-2021,Vineet,Mizoram,Office Supplies,Art,4009 Highlighters by Sanford,19.90,5,6.57
31,22-11-2023,Priya,Himachal Pradesh,Office Supplies,Paper,Xerox 1923,37.41,7,13.09
32,10-10-2022,Akanksha,Chhattisgarh,Office Supplies,Binders,Avery Metallic Poly Binders,3.44,2,-2.52
33,07-02-2020,Kajal,Gujarat,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,-53.29
34,01-10-2022,Nikhil,Andhra Pradesh,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,65.98
35,06-09-2021,Anushka,Uttarakhand,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.10,6,28.60
36,16-09-2020,Kunal,Mizoram,Technology,Phones,AT&T 841000 Phone,124.20,3,-31.05
37,24-09-2021,Karthik,Rajasthan,Office Supplies,Binders,GBC Linen Binding Covers,18.59,2,-13.63
38,22-09-2022,Raman,Jharkhand,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.07,3,10.15
39,02-12-2022,Raman,Arunachal Pradesh,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.86,4,6.49
40,13-05-2021,Karthik,West Bengal,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,-23.72
41,13-11-2020,Neha,Tripura,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.06,4,19.62
42,20-04-2021,Priya,Jharkhand,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,36.69
43,04-06-2022,Jhanvi,Punjab,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,-320.60
44,14-10-2023,Sonam,Chhattisgarh,Technology,Phones,Apple iPhone 5C,699.93,7,181.98
45,19-01-2023,Divya,Gujarat,Office Supplies,Art,Newell 351,22.96,7,6.66
46,23-11-2023,Kriti,Chhattisgarh,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.60,4,11.58
47,03-01-2022,Sakshi,Chhattisgarh,Office Supplies,Art,Newell 327,6.63,3,1.79
48,18-08-2022,Vikram,Rajasthan,Office Supplies,Envelopes,Staple envelope,23.34,3,10.97
49,13-04-2022,Shweta,Haryana,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3,224.27
50,14-10-2023,Kunal,Manipur,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2,9.29
51,07-01-2020,Raj,Bihar,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30,2,5.79
52,12-07-2020,Gayatri,Arunachal Pradesh,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1,4.05
53,07-05-2022,Jatin,West Bengal,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,30.02
54,13-05-2021,Akanksha,Nagaland,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,5,8.95
55,06-01-2024,Isha,Kerala,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.72,4,93.58
56,04-02-2023,Rakesh,Nagaland,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2,15.98
57,27-10-2023,Nikhil,Assam,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,12.74
58,17-11-2022,Rohit,Tamil Nadu,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,4.86
59,07-08-2020,Nidhi,Odisha,Office Supplies,Binders,Storex Dura Pro Binders,29.70,5,13.37
60,19-11-2023,Udit,Uttar Pradesh,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.19,1,-51.52
61,14-08-2021,Anand,Tamil Nadu,Furniture,Furnishings,Ultra Door Pull Handle,25.25,3,4.10
62,25-11-2022,Kunal,Bihar,Office Supplies,Paper,Xerox 195,40.08,6,19.24
63,16-07-2022,Sourabh,West Bengal,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,3,0.00
64,05-12-2021,Janhvi,Bihar,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3,30.78
65,19-01-2024,Yogesh,Gujarat,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",489.92,8,0.00
66,04-03-2023,Disha,Bihar,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44,3,9.33
67,25-01-2024,Simran,West Bengal,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,2,8.34
68,01-03-2021,Isha,Tripura,Technology,Phones,Macally Suction Cup Mount,155.35,13,0.00
69,07-03-2023,Shakshi,Jharkhand,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,3,4.47
70,16-09-2021,Kavya,Andhra Pradesh,Technology,Phones,Jabra SPEAK 410,187.98,2,52.63
71,29-12-2021,Pooja,Nagaland,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,5.02
72,02-12-2023,Saloni,Uttar Pradesh,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,2,39.75
73,10-02-2021,Ananya,Arunachal Pradesh,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,1,14.31
74,18-11-2020,Sonam,Odisha,Furniture,Tables,Balt Split Level Computer Training Table,333.00,3,-16.65
75,23-04-2023,Yogesh,Arunachal Pradesh,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,4,12.03
76,20-11-2020,Kajal,Arunachal Pradesh,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3.93,1,1.33
77,02-04-2020,Bhavana,Punjab,Office Supplies,Paper,Xerox 1972,10.56,2,4.75
78,10-04-2021,Divya,Manipur,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,2,6.90
79,26-02-2023,Aarav,Himachal Pradesh,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.67,2,3.42
80,09-10-2020,Rakesh,West Bengal,Technology,Accessories,Enermax Aurora Lite Keyboard,468.90,6,206.32
81,05-06-2020,Sanjay,Assam,Office Supplies,Fasteners,Staples,12.35,5,5.80
82,04-06-2022,Sandeep,Rajasthan,Office Supplies,Binders,Surelock Post Binders,18.34,2,-12.22
83,01-03-2020,Varun,Maharashtra,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,13.57
84,22-11-2023,Ishan,Himachal Pradesh,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2,27.25
85,28-01-2024,Anand,Manipur,Office Supplies,Binders,Avery Durable Poly Binders,13.27,3,4.31
86,16-12-2023,Shiv,Jharkhand,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.90,3,29.01
87,23-10-2023,Shiv,Andhra Pradesh,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,4,16.09
88,16-05-2023,Lakshay,Maharashtra,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.25,2,6.04
89,07-09-2020,Aditi,Odisha,Office Supplies,Labels,Avery 480,15.00,4,7.20
90,14-05-2023,Rajesh,Tamil Nadu,Technology,Phones,Aastra 57i VoIP phone,161.61,1,42.02
91,18-09-2020,Sudhir,Jharkhand,Technology,Phones,AT&T CL82213,144.95,5,42.04
92,12-03-2021,Nikhil,Mizoram,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",8.95,2,-14.77
93,10-05-2023,Vipul,Maharashtra,Technology,Accessories,Maxell DVD-RAM Discs,115.36,7,49.60
94,15-08-2023,Tanvi,Gujarat,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,4,9.74
95,24-05-2023,Gayatri,Assam,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",14.56,2,5.53
96,28-12-2023,Sonia,Maharashtra,Technology,Accessories,Enermax Aurora Lite Keyboard,234.45,3,103.16
97,05-04-2023,Vikram,Maharashtra,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1256.22,6,75.37
98,04-12-2023,Ravi,Andhra Pradesh,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,8.21
99,01-01-2021,Akash,West Bengal,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",60.89,1,15.22
100,22-09-2023,Alia,Jharkhand,Office Supplies,Labels,Avery 483,14.94,3,6.87
101,25-03-2020,Ravi,Madhya Pradesh,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,2,4.43
102,27-05-2022,Abhilasha,Haryana,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",332.94,3,53.27
103,19-03-2021,Akash,West Bengal,Office Supplies,Binders,VariCap6 Expandable Binder,51.90,3,24.39
104,06-12-2023,Gaurav,Uttar Pradesh,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,64.96,2,2.60
105,24-07-2020,Prachi,Mizoram,Furniture,Chairs,"Global Geo Office Task Chair, Gray",129.57,2,-24.29
106,24-07-2020,Rajesh,Odisha,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8¬î x 11¬î",16.18,3,6.07
107,07-05-2021,Shraddha,Assam,Technology,Accessories,Logitech G600 MMO Gaming Mouse,239.97,3,86.39
108,29-01-2023,Jatin,Bihar,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,81.96,2,22.95
109,03-01-2024,Gunjan,Nagaland,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,238.62,2,4.77
110,04-01-2024,Swati,Arunachal Pradesh,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,21.36,5,7.21
111,12-02-2023,Amrita,Sikkim,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,3,-1.73
112,05-06-2020,Akshay,Tripura,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",7.96,2,-13.93
113,24-12-2021,Ananya,Bihar,Office Supplies,Art,Staples in misc. colors,54.21,14,8.81
114,20-11-2023,Shashank,Maharashtra,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",25.16,5,-11.32
115,12-01-2023,Shiv,Nagaland,Office Supplies,Storage,Akro Stacking Bins,12.62,2,-2.52
116,25-05-2022,Tarun,Andhra Pradesh,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3,22.43
117,06-06-2020,Divya,Uttarakhand,Furniture,Furnishings,"Master Caster Door Stop, Brown",20.32,4,6.91
118,26-07-2020,Ishita,Manipur,Office Supplies,Paper,Xerox 204,12.96,2,6.22
119,11-08-2020,Kunal,Assam,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,8.85,5,-13.72
120,25-02-2023,Anjali,Uttarakhand,Office Supplies,Paper,Xerox 220,19.44,3,9.33
121,21-06-2021,Jatin,Jharkhand,Office Supplies,Labels,Staple-on labels,6.94,3,2.34
122,03-11-2021,Aishwarya,Chhattisgarh,Office Supplies,Binders,GBC Plastic Binding Combs,4.43,3,-6.86
123,25-11-2022,Yogesh,Andhra Pradesh,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",32.90,4,11.10
124,16-12-2020,Kajal,Assam,Office Supplies,Paper,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",22.78,3,7.69
125,22-02-2023,Vaibhav,Mizoram,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.46,4,3.40
126,29-11-2020,Ankit,Tripura,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.57,2,51.48
127,28-09-2021,Vikram,Assam,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94,3,1.60
128,01-11-2022,Disha,Himachal Pradesh,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634.12,6,-172.12
129,13-07-2020,Kunal,Madhya Pradesh,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.47,3,5.68
130,02-06-2020,Pranav,Uttar Pradesh,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,18.84,5,-3.53
131,11-03-2020,Kunal,West Bengal,Furniture,Chairs,Harbour Creations Steel Folding Chair,362.25,6,0.00
132,19-08-2021,Nikhil,Tamil Nadu,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,63.55,6,-34.95
133,04-12-2020,Deepak,Mizoram,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,129.55,3,-22.67
134,03-07-2020,Isha,Maharashtra,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,137.35,3,8.58
135,16-04-2020,Janhvi,Jharkhand,Furniture,Tables,Bevis Round Conference Room Tables and Bases,376.51,3,-43.03
136,07-09-2023,Varun,Himachal Pradesh,Office Supplies,Envelopes,Staple envelope,11.36,2,5.34
137,05-04-2020,Ananya,Maharashtra,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",36.40,5,17.47
138,08-12-2021,Sudhir,Arunachal Pradesh,Office Supplies,Paper,Xerox 1971,3.42,1,1.07
139,24-11-2020,Rohit,Himachal Pradesh,Technology,Accessories,Hypercom P1300 Pinpad,151.20,3,32.13
140,24-03-2021,Nikhil,Sikkim,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.46,4,3.40
141,09-12-2023,Swati,Andhra Pradesh,Technology,Phones,PowerGen Dual USB Car Charger,9.99,1,4.60
142,28-09-2022,Ishita,Bihar,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,125.76,3,40.87
143,27-10-2020,Saloni,Chhattisgarh,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",25.32,5,9.18
144,28-08-2023,Shweta,Assam,Office Supplies,Labels,Avery 495,15.12,3,4.91
145,26-01-2020,Kabir,Mizoram,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,302.45,5,-199.62
146,24-12-2023,Aditi,Goa,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,44.67,8,-10.05
147,23-02-2022,Priya,Arunachal Pradesh,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,176.77,3,-459.61
148,17-11-2023,Hemant,Manipur,Furniture,Tables,"Bevis Oval Conference Table, Walnut",626.35,3,-23.49
149,17-02-2020,Rakesh,Sikkim,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,354.90,5,17.75
150,15-05-2020,Uma,Himachal Pradesh,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",15.55,3,2.33
151,03-01-2022,Hari,Haryana,Office Supplies,Art,Newell 345,59.52,3,15.48
152,08-06-2022,Sudhir,Jharkhand,Technology,Accessories,Logitech Wireless Gaming Headset G930,479.97,3,177.59
153,07-04-2023,Divya,Kerala,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,18.62,2,5.40
154,02-02-2022,Utkarsh,Kerala,Office Supplies,Binders,GBC Wire Binding Combs,49.63,6,16.75
155,01-01-2021,Sagar,Madhya Pradesh,Office Supplies,Paper,Xerox 1891,97.82,2,45.98
156,28-02-2021,Amrita,Manipur,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",48.71,1,5.48
157,15-05-2022,Sanjay,Assam,Office Supplies,Art,Newell 330,17.94,3,4.66
158,19-11-2020,Abhay,Meghalaya,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",242.94,3,4.86
159,05-08-2020,Sakshi,Tamil Nadu,Office Supplies,Binders,Catalog Binders with Expanding Posts,107.65,2,33.64
160,11-01-2024,Shakshi,West Bengal,Office Supplies,Art,Newell Chalk Holder,20.65,5,9.50
161,22-08-2021,Abhilasha,Assam,Office Supplies,Storage,"Contico 72""H Heavy-Duty Storage System",204.90,5,0.00
162,25-10-2020,Saurabh,Punjab,Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,436.70,6,21.84
163,12-09-2022,Jaya,Uttar Pradesh,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",481.57,2,54.18
164,01-12-2022,Ishita,Mizoram,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",22.38,2,10.74
165,03-05-2021,Utkarsh,Bihar,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,636.41,3,-15.91
166,16-10-2020,Raj,Telangana,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black",83.17,4,9.36
167,20-10-2021,Aarav,Gujarat,Furniture,Furnishings,Eldon Wave Desk Accessories,8.32,5,2.29
168,02-11-2022,Aditi,Odisha,Office Supplies,Fasteners,Stockwell Push Pins,10.46,6,1.70
169,25-01-2022,Abhilasha,Andhra Pradesh,Office Supplies,Paper,"Southworth 100% R√©sum√© Paper, 24lb.",108.92,14,49.01
170,21-11-2020,Kabir,Manipur,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",146.76,3,38.16
171,03-01-2023,Ishan,West Bengal,Technology,Accessories,Maxell DVD-RAM Discs,32.96,2,14.17
172,01-04-2023,Deepika,Rajasthan,Technology,Phones,Panasonic KX-TG9471B,587.97,3,164.63
173,29-10-2023,Shiv,Haryana,Office Supplies,Paper,Xerox 198,14.94,3,7.02
174,25-07-2022,Karan,Haryana,Office Supplies,Art,Economy #2 Pencils,7.98,3,2.07
175,02-11-2022,Sandeep,Uttarakhand,Office Supplies,Paper,Xerox 1972,10.56,2,4.75
176,19-03-2023,Monica,Madhya Pradesh,Office Supplies,Art,Avery Hi-Liter Fluorescent Desk Style Markers,3.38,1,1.25
177,14-09-2022,Sandeep,Rajasthan,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,1139.92,4,284.98
178,20-07-2021,Anjali,Uttar Pradesh,Office Supplies,Binders,GBC Wire Binding Combs,33.09,4,11.17
179,02-02-2021,Ayesha,Jharkhand,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,80.98,1,3.24
180,23-01-2020,Ishita,Jharkhand,Technology,Accessories,Imation¬†30456 USB¬†Flash Drive¬†8GB,82.80,12,6.62
181,04-05-2021,Aishwarya,Chhattisgarh,Office Supplies,Storage,Staple magnet,21.36,2,5.77
182,08-09-2022,Isha,Himachal Pradesh,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",62.05,2,20.17
183,13-01-2022,Ananya,Meghalaya,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,574.91,2,156.05
184,20-11-2020,Vipul,Goa,Office Supplies,Paper,Xerox 1963,8.45,2,2.64
185,24-06-2021,Anand,Tripura,Office Supplies,Paper,Xerox 1887,91.06,6,31.87
186,22-11-2023,Sakshi,Madhya Pradesh,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",142.78,1,17.85
187,05-04-2020,Anand,Andhra Pradesh,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",45.70,3,5.14
188,11-01-2023,Shailendra,Meghalaya,Office Supplies,Binders,Insertable Tab Post Binder Dividers,7.22,3,-5.53
189,06-03-2022,Himani,Kerala,Office Supplies,Binders,GBC VeloBinder Manual Binding System,43.19,4,-31.67
190,11-01-2021,Kajal,Tamil Nadu,Office Supplies,Paper,Xerox 1889,131.90,3,47.82
191,23-06-2021,Saloni,Madhya Pradesh,Technology,Phones,Polycom VoiceStation 500 Conference¬†phone,471.92,2,29.50
192,16-01-2022,Nitin,Jharkhand,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,93.78,2,36.57
193,25-12-2020,Gunjan,Goa,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8¬î x 11¬î",47.18,7,23.59
194,03-07-2021,Ishika,Telangana,Office Supplies,Art,Newell 35,19.68,6,5.71
195,02-10-2023,Akanksha,Kerala,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,53.40,10,25.10
196,24-08-2022,Rohit,Telangana,Office Supplies,Binders,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,35.88,6,17.22
197,29-10-2021,Anjali,Madhya Pradesh,Furniture,Tables,Bretford Rectangular Conference Table Tops,1579.75,7,-447.59
198,12-08-2020,Vinay,Haryana,Furniture,Tables,Balt Solid Wood Round Tables,1071.58,4,-553.65
199,03-07-2023,Aman,Jharkhand,Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer",613.91,3,-122.78
200,24-10-2020,Kabir,West Bengal,Office Supplies,Paper,Xerox 1926,34.86,7,16.38
201,25-01-2021,Shakshi,West Bengal,Office Supplies,Paper,Xerox 1918,155.04,4,75.97
202,04-01-2021,Shalini,Uttarakhand,Office Supplies,Art,Newell 333,4.45,2,0.33
203,25-04-2022,Mohit,Telangana,Office Supplies,Paper,Xerox 1966,5.18,1,1.88
204,31-03-2023,Karishma,Jharkhand,Office Supplies,Paper,Xerox 1967,15.55,3,5.44
205,06-08-2020,Anjali,Arunachal Pradesh,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",11.43,3,5.37
206,14-12-2021,Abhishek,Uttar Pradesh,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",30.44,2,14.92
207,06-04-2023,Aarushi,Telangana,Office Supplies,Paper,Xerox 1957,12.96,2,6.35
208,04-09-2022,Tanvi,Telangana,Office Supplies,Paper,EcoTones Memo Sheets,16.00,4,7.68
209,30-01-2024,Jhanvi,Mizoram,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,32.67,3,8.49
210,15-10-2020,Anand,Tripura,Office Supplies,Paper,Xerox 1909,126.62,6,41.15
211,17-11-2023,Kajal,Gujarat,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,821.30,4,-16.43
212,19-12-2023,Vikram,Tripura,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,6,-1811.08
213,06-05-2020,Abhishek,Himachal Pradesh,Office Supplies,Paper,Xerox 195,21.38,4,7.48
214,29-05-2022,Akshay,Bihar,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,8.02,3,1.00
215,08-09-2022,Sudhir,Nagaland,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",30.77,2,8.08
216,20-06-2022,Kabir,Punjab,Office Supplies,Fasteners,Staples,18.94,3,5.92
217,08-12-2022,Bhavya,Maharashtra,Furniture,Furnishings,"Dana Fluorescent Magnifying Lamp, White, 36""",122.35,3,15.29
218,26-04-2023,Raj,Meghalaya,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1198.33,10,70.49
219,14-03-2022,Vinay,Andhra Pradesh,Furniture,Furnishings,Eldon Cleatmat Chair Mats for Medium Pile Carpets,111.00,2,14.43
220,11-11-2021,Sapna,Punjab,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,1279.97,4,415.99
221,05-08-2020,Neha,Sikkim,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1856.19,7,334.11
